Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
1,1,8.0,0.0,20.42,0.0,59.0,0.44,0,0.0,,0.0
1,2,8.0,0.0,20.16,0.0,59.61,0.44,0,0.0,,0.0
1,3,8.0,0.0,20.0,0.0,59.95,0.44,0,0.0,,0.0
1,4,8.0,0.0,19.78,0.0,60.31,0.44,0,0.0,,0.0
1,5,8.0,0.0,19.66,0.0,60.29,0.44,0,0.0,,0.0
1,6,8.0,0.0,19.58,0.0,60.25,0.44,0,0.0,,0.0
1,7,8.0,0.0,19.5,0.0,60.28,0.44,0,0.0,,0.0
1,8,8.0,0.0,19.42,0.0,60.27,0.44,0,0.0,,0.0
1,9,8.0,0.0,19.89,0.0,58.06,0.44,0,0.51,,28.2155
1,10,8.0,0.0,20.83,0.0,53.49,2.46,0,0.44,,45.8566
1,11,8.0,0.0,20.96,0.0,52.04,6.27,0,0.0,,74.4313
1,12,8.0,0.0,20.99,0.0,53.37,8.06,0,0.0,,144.55
1,13,8.0,0.0,20.97,0.0,58.15,8.06,0,0.0,,148.719
1,14,8.0,0.0,20.99,0.0,61.12,8.06,0,0.0,,96.634
1,15,8.0,0.0,21.01,0.0,59.96,8.06,0,0.0,,53.573
1,16,8.0,0.0,21.02,0.0,59.54,8.06,0,0.0,,30.8986
1,17,8.0,0.0,21.0,0.0,59.07,8.06,0,0.0,,9.70243
1,18,8.0,0.0,21.02,0.0,56.67,5.37,0,0.0,,0.0
1,19,8.0,0.0,20.91,0.0,55.98,2.35,0,0.0,,0.0
1,20,8.0,0.0,20.67,0.0,56.92,2.35,0,0.0,,0.0
1,21,8.0,0.0,20.73,0.0,56.98,2.35,0,0.0,,0.0
1,22,8.0,0.0,20.76,0.0,57.28,2.35,0,0.0,,0.0
1,23,8.0,0.0,20.73,0.0,57.7,2.35,0,0.0,,0.0
1,24,8.0,0.0,20.6,0.0,58.18,1.45,0,0.0,,0.0
1,1,5.0,0.0,20.52,0.0,58.46,0.44,0,0.0,,0.0
1,2,5.0,0.0,20.44,0.0,58.79,0.44,0,0.0,,0.0
1,3,5.0,0.0,20.32,0.0,59.26,0.44,0,0.0,,0.0
1,4,5.0,0.0,20.23,0.0,59.67,0.44,0,0.0,,0.0
1,5,5.0,0.0,20.17,0.0,59.97,0.44,0,0.0,,0.0
1,6,5.0,0.0,20.1,0.0,60.26,0.44,0,0.0,,0.0
1,7,5.0,0.0,19.99,0.0,60.82,0.44,0,0.0,,0.0
1,8,5.0,0.0,20.17,0.0,60.44,0.44,0,0.35,,0.0
1,9,5.0,0.0,20.9,0.0,58.18,1.45,0,0.66,,45.0112
1,10,5.0,0.0,21.0,0.0,58.2,5.37,0,0.0,,113.45
1,11,5.0,0.0,20.97,0.0,57.61,8.06,0,0.0,,174.733
1,12,5.0,0.0,21.03,0.0,55.5,8.06,0,0.0,,233.71099999999998
1,13,5.0,0.0,21.01,0.0,51.16,8.06,0,0.0,,244.99599999999998
1,14,5.0,0.0,21.02,0.0,46.36,8.06,0,0.0,,232.412
1,15,5.0,0.0,21.02,0.0,42.23,8.06,0,0.0,,185.68200000000002
1,16,5.0,0.0,21.01,0.0,38.63,8.06,0,0.0,,116.802
1,17,5.0,0.0,21.0,0.0,34.72,8.06,0,0.0,,25.4838
1,18,5.0,0.0,21.02,0.0,31.22,8.06,0,0.0,,0.0
1,19,5.0,0.0,21.01,0.0,29.74,8.06,0,0.0,,0.0
1,20,5.0,0.0,21.0,0.0,28.79,8.06,0,0.0,,0.0
1,21,5.0,0.0,20.99,0.0,27.61,5.37,0,0.0,,0.0
1,22,5.0,0.0,20.76,0.0,27.21,2.35,0,0.0,,0.0
1,23,5.0,0.0,20.34,0.0,27.39,2.35,0,0.0,,0.0
1,24,5.0,0.0,19.92,0.0,27.22,1.45,0,0.0,,0.0
1,1,6.0,0.0,19.4,0.0,27.35,1.45,0,0.0,,0.0
1,2,6.0,0.0,19.05,0.0,27.37,0.44,0,0.0,,0.0
1,3,6.0,0.0,18.75,0.0,27.12,0.44,0,0.0,,0.0
1,4,6.0,0.0,18.49,0.0,26.89,0.44,0,0.0,,0.0
1,5,6.0,0.0,18.18,0.0,26.77,0.44,0,0.0,,0.0
1,6,6.0,0.0,17.94,0.0,26.5,0.44,0,0.0,,0.0
1,7,6.0,0.0,17.78,0.0,26.14,0.44,0,0.0,,0.0
1,8,6.0,0.0,18.3,0.0,24.88,0.44,0,0.23,,0.0
1,9,6.0,0.0,20.95,0.0,20.28,1.45,0,0.0,,148.982
